Common.name(Kreol.morisien);Fish.code;Common.name;Scient.name
Akang;1;;
Alibeth;2;;
Babone;3;Blacksaddled coralgrouper;Plectropomus laevis
Balao;4;Black-barred halfbeak ;Hemiramphus far
Banane;5;Roundjaw Bonefish;Albula glossodonta
Barber;6;;
Batarder;7;Thumbprint Emperor;Lethrinus harak
Batate;8;;
Beking;9;Pickhandle barracuda ;Sphyraena jello
Beking tirass;10;;
Berri;11;Sky emperor;Lethrinus mahsena
Berri blan;12;Thumbprint Emperor;Lethrinus harak
Berri Rouge;13;Sky emperor;Lethrinus mahsena
Bonite;14;Skipjack tuna;Katsuwonus pelamis
Bordemare;15;Mangrove Red snapper;Lutjanus fulvus
Boubet;16;;
Bouletangue;17;Porcupine fish;Tetraodontiformes
Bourse;18;Triggerfish;Balistidae
Breton;19;Strongspine silver-biddy;Gerres longirostris
Cabo;20;Goby;Gobiidae
Cabo gaumon;21;;
Cabo lherbe;22;;
Cabo vert;23;;
Calamar;24;Squid;Decapodiformes
Capitaine;25;Spangled emperor;Lethrinus nebolosus
Carandine;26;Striped large-eye bream;Gnathodentex aureolineatus
Carangue;27;Golden trevally;Gnathanodon speciosus
Carpe;28;Freckled Drift fish;Psenes cyanophrys
Castor;29;Castor;Ruvettus pretiosus
Cato;30;Blue-barred parrotfish;Scarus ghobban
Cato bleu;31;Blue-barred parrotfish;Scarus ghobban
Cato gaumon;32;Wrasses/parrotfish;Scaridae, Sub family: Scaridae
Cato noire;33;;
Cato vert;34;Daisy parrotfish;Chlorurus sordidus 
Caya;35;Spotcheek Emperor;Lethrinus rubrioperculatus
Cheval de bois;36;Greasy grouper ;Epinephelus tauvina
Colombine;37;;
Cordonnier;38;Shoemaker spinefoot;Siganus sutor
Corn;39;Bluespine unicornfish;Naso unicornis
Corsau;40;;
Croissant;41;White-edged lyretail/Yellow-edged lyretail ;Variola spp.
Dame berri;42;Sky emperor;Lethrinus mahsena
Dorade ;43;Common dolphinfish;Coryphaena hippurus
Empereur;44;Indo-Pacific blue marlin;Makaira mazara
Espadon;45;Swordfish;Xiphias gladius
Gaumon Corne;46;;
Giblot;47;John's snapper ;Lutjanus johnii
Gros vielle Canal;48;;
Gueule pave;49;Goldlined Seabream;Rhabdosargus sarba
Harang;50;;
Laffe dragon;51;;
Laffe ti cochon;52;Commerson's frogfish ;Antennarius commerson
Lalo;53;;
Lion rouge;54;Crown squirrelfish;Sargocentron diadema
Long bouche;55;;
Lopey Vieu;56;;
Lubine;57;Milkfish;Chanos chanos
Lune Dore;58;;
Macro;59;Mackerel;Scombridae
Madame tomber;60;Floral wrasse;Cheilinus chlorourus
Mama rouge;61;Tomato hind;Cephalopholis sonnerati
Marlin;62;Marlin;Istiophoridae
Masouran;63;;
Melouger;64;;
Milatresse;65;;
Mullet;66;Mullet;Mugil cephalus
Mullet Voiler;67;;Mugil cephalus
Notie;68;;
Octopus;69;Octopus;Octopus cyanea
Papillon;70;Butterflyfishes;Chaetodon sp.
Pavillon;71;Butterflyfishes;Chaetodon sp.
Poisson Aiguille;72;Needlefish;Belonidae
Poisson madras;73;Bluestripe snapper/bluestripe sea perch or blue-line snapper;Lutjanus kasmira
Poisson sec milatresse;74;;
Portugalson;75;;
Poudiere;76;;
Poule d'or;77;Poisson poule deau;Platax spp.
Queue blanc;78;;
Rempart;79;;
Requin point blanc;80;Requin à pointes blanches/ Silvertip shark;Carcharhinus albimarginatus
Requin point noire;81;Blacktip reef shark ;Carcharhinus melanopterus
Robinemale;82;;
Rouget;83;Doublebar goatfish;Parupeneus trifasciatus
Rouget Jaune;84;Yellowfin goatfish;Mulloidichthys vanicolensis
Rouget La queue gris;85;;
Rouget Roche;86;Long-barbel goatfish;Parupeneus macronemus
Sacre chien;87;Ruby snapper/ Sacre chien grande queue;Etelis coruscans
Sacre chiens rouge;88;Deep-water red snapper/ Ruby snapper;Etelis carbunculus
Sailfish;89;Indo-Pacific sailfish ;Istiophorus platypterus
Sardine;90;;
Scapilaire;91;;
Shark;92;Shark;Elasmobranch
Sol;93;Flowery flounder;Bothus mancus
Sourzin;94;Surgeonfish;Acanthuridae
Spearfish;95;Shortbill spearfish;Tetrapturus angustirostris
Superfish;96;;
Tazar;98;Obtuse barracuda;Sphyraena obtusata
Thon;99;Tuna (unspecified);Scombridae, Tribe: Thunnini
Thon albacore;100;Germon/thon blanc/albacore;Thunnus alalunga
Thon Big eye;101;Bigeye tuna;Thunnus obesus
Thon Blanc;102;Germon/thon blanc/albacore;Thunnus alalunga
Thon jaune;104;Yellowfin tuna;Thunnus albacares
Thon rouge;105;Blue fin tuna;Thunnus thynnus
Ti Voillier;106;;
Tiger shark;107;Tiger shark;Galeocerdo cuvier
Vacoas;108;Green jobfish ;Aprion virescens
Vielle babonne;109;Marbled coralgrouper ;Plectropomus punctatus
Vielle Labou;110;Oblique-banded grouper;Epinephelus radiatus
Vielle;111;Halfmoon grouper;Epinephelus rivulatus
Vielle noire;112;Grouper;Serranidae
Vielle cuisinier;113;Peacock hind;Cephalopholis argus
Vielle Faro;114;Cephalopholis argus;Cephalopholis polleni
Vielle Gris;115;Honeycomb grouper;Epinephelus merra
Vielle pave;116;Grouper;Serranidae
Vielle plate;117;Eightbar grouper ;Hyporthodus octofasciatus
Vielle roche;118;Grouper;Serranidae
Vielle Rouge;119;Blacktip grouper;Epinephelus fasciatus
Vielle Voleuse;120;Snubnose grouper ;Epinephelus macrospilos
Vivano;121;Snapper;Lutjanidae
Voilier;122;Indo-Pacific sailfish;Istiophorus platypterus
Whales;123;;
Thon germent;124;Germon/thon blanc/albacore;Thunnus alalunga
Droite;125;;
Baracuda;126;Barracuda: tazar lichien;Sphyraena barracuda
Saumon ;127;;Salmonidae
La gueule Sardine;128;;
